ID,LastName,FirstName,Pos,CapHit
8479442,Stecher,Troy,D,787500.0
8479402,Bean,Jake,D,1750000.0
8481564,Johnson,Jack,D,0.0
8484540,Smith,Brendan,D,0.0
8476878,Girgensons,Zemgus,C,850000.0
8478424,Harkins,Jansen,C,787500.0
8478502,Gilbert,Dennis,D,875000.0
8481019,Gustafsson,David,C,835000.0
8481024,Karlsson,Linus,C,775000.0
8482496,Aman,Nils,C,825000.0
8482666,Morrow,Scott,D,916667.0
8482964,Xhekaj,Arber,D,1300000.0
8483609,Klapka,Adam,R,1250000.0
8480878,Lundkvist,Nils,D,1250000.0
8480887,Harris,Jordan,D,825000.0
8483489,Minten,Fraser,C,816667.0
8483506,Rinzel,Sam,D,941667.0
8481564,Johnson,Erik,D,0.0
8475181,Leddy,Nick,D,4000000.0
8477508,Lazar,Curtis,C,775000.0
8478854,Shea,Ryan,D,900000.0
8479022,Abols,Rodrigo,C,800000.0
8475790,Gudbranson,Erik,D,4000000.0
8475906,Klingberg,John,D,4000000.0
8477435,Graves,Ryan,D,4500000.0
8477527,Johnston,Ross,L,1100000.0
8479981,Gadjovich,Jonah,L,775000.0
8481560,Kaliyev,Arthur,R,775000.0
8481806,Crevier,Louis,D,900000.0
8482733,Mailloux,Logan,D,875000.0
8484321,Matinpalo,Nikolas,D,875000.0
8478472,Joseph,Pierre-Olivier,R,775000.0
8482516,Kessel,Matthew,D,800000.0
8483460,Jiricek,David,D,918333.0
8480012,Pettersson,Elias,C,11600000.0
8475235,Deslauriers,Nicolas,L,1750000.0
8475766,Watson,Austin,L,775000.0
8477335,Burroughs,Kyle,D,1100000.0
8477971,Englund,Andreas,D,775000.0
8478211,Hunt,Dryden,L,825000.0
8479576,Desharnais,Vincent,D,2000000.0
8471817,Reaves,Ryan,R,1350000.0
8485405,Martin,Matt,C,0.0
8475795,McIlrath,Dylan,D,800000.0
8476422,Reilly,Mike,D,1100000.0
8477018,Hutton,Ben,D,975000.0
8477070,O'Brien,Liam,C,
8477979,Aube-Kubel,Nicolas,R,775000.0
8477401,Hayden,John,C,775000.0
8479387,Middleton,Keaton,D,775000.0
8482775,Kapanen,Oliver,C,925000.0
8483466,Korchinski,Kevin,D,918333.0
8482103,Wiesblatt,Ozzy,R,775000.0
8482101,Gushchin,Danil,L,775000.0
8482088,Sourdif,Justin,R,825000.0
8482641,Kiersted,Matt,D,775000.0
8484241,Wood,Matthew,R,950000.0
8478468,Lauzon,Jeremy,D,2000000.0
8475755,Petrovic,Alexander,D,775000.0
8476952,Toninato,Dominic,C,850000.0
8477073,MacDermid,Kurtis,L,1150000.0
8477947,Milano,Sonny,L,1900000.0
8478454,Juulsen,Noah,D,900000.0
8480823,Alexeyev,Alexander,D,775000.0
8479746,Felhaber,Tye,L,775000.0
8481582,Robertson,Matthew,L,775000.0
8482133,Bordeleau,Thomas,C,775000.0
8482131,Sebrango,Donovan,D,775000.0
8483482,Luneau,Tristan,D,865000.0
